ID;UrunAdi;Kategori;IlgiAlani;Marka;Fiyat;YasGrubu;PopulerlikPuan
4023;Spalding Outdoor Spor Çantası;Spor;Outdoor;Spalding;1116.44;Genc;85
4024;Michelin Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Michelin;6763.23;Cocuk;76
4025;Logitech E-Spor Paketi;Oyun;E-Spor;Logitech;1400.56;Yasli;75
4026;Estee Lauder Makyaj Cilt Serumu;Kozmetik;Makyaj;Estee Lauder;887.44;Cocuk;51
4027;Marshall Sahne Amfi;Muzik;Sahne;Marshall;23859.75;Yetiskin;46
4028;Hot Wheels Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Hot Wheels;4420.62;Yetiskin;12
4029;Marshall Sahne DJ Ekipmanı;Muzik;Sahne;Marshall;6871.95;Yetiskin;68
4030;Iletisim Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Iletisim;130.16;Cocuk;44
4031;Meguiars Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Meguiars;7228.67;Genc;12
4032;Maybelline Parfum Ruj;Kozmetik;Parfum;Maybelline;1618.79;Yetiskin;47
4033;English Home Konfor Dekoratif Lamba;Ev-Yasam;Konfor;English Home;686.70;Yasli;1
4034;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;479.65;Cocuk;23
4035;Continental Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Continental;753.98;Genc;92
4036;Goodyear Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Goodyear;5937.50;Genc;59
4037;Canson El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Canson;3300.95;Genc;75
4038;SteelSeries E-Spor Koleksiyonu;Oyun;E-Spor;SteelSeries;2396.76;Yasli;2
4039;Casio Studyo Amfi;Muzik;Studyo;Casio;6688.66;Yetiskin;50
4040;Meguiars Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Meguiars;9385.62;Yetiskin;41
4041;North Face Ekipman Antrenman Ekipmanı;Spor;Ekipman;North Face;6795.44;Cocuk;43
4042;Daler Rowney El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Daler Rowney;4026.77;Genc;37
4043;Arzum Konfor Nevresim Takımı;Ev-Yasam;Konfor;Arzum;4296.78;Yasli;71
4044;Hasbro Klasik Paketi;Oyuncak;Klasik;Hasbro;1380.11;Yasli;45
4045;Adidas Aksesuar Parfüm;Moda;Aksesuar;Adidas;3927.48;Yetiskin;31
4046;Daler Rowney Resim Paketi;Hobi-Sanat;Resim;Daler Rowney;2850.88;Yetiskin;9
4047;Burberry Aksesuar Çanta;Moda;Aksesuar;Burberry;5818.31;Genc;35
4048;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;14115.85;Yasli;65
4049;Can Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Can Yayinlari;200.05;Yetiskin;36
4050;Columbia Ekipman Koşu Ayakkabısı;Spor;Ekipman;Columbia;3351.96;Yetiskin;98
4051;Maybelline Bakim Ruj;Kozmetik;Bakim;Maybelline;713.61;Genc;74
4052;Continental Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Continental;13507.45;Yetiskin;1
4053;Casio Studyo DJ Ekipmanı;Muzik;Studyo;Casio;6821.08;Yetiskin;28
4054;Dior Parfum Cilt Serumu;Kozmetik;Parfum;Dior;1731.65;Genc;97
4055;Tefal Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Tefal;9360.37;Genc;38
4056;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;393.30;Genc;30
4057;Michelin Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Michelin;8793.89;Yetiskin;13
4058;Yamaha Sahne Amfi;Muzik;Sahne;Yamaha;22559.31;Cocuk;42
4059;Melissa Doug Egitici Koleksiyonu;Oyuncak;Egitici;Melissa Doug;4081.18;Genc;63
4060;Liquitex El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Liquitex;1428.59;Yasli;67
4061;Casio Analog Pikap;Muzik;Analog;Casio;23375.69;Yetiskin;54
4062;Ikea Konfor Kahve Makinesi;Ev-Yasam;Konfor;Ikea;2560.40;Cocuk;22
4063;Spin Master Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Spin Master;138.24;Cocuk;48
4064;Pebeo Resim Paketi;Hobi-Sanat;Resim;Pebeo;3137.88;Cocuk;37
4065;Bose Analog Amfi;Muzik;Analog;Bose;15253.66;Cocuk;48
4066;Corsair Yayincilik Seti;Oyun;Yayincilik;Corsair;410.77;Yetiskin;36
4067;Huawei Yazilim Bilgisayar;Teknoloji;Yazilim;Huawei;10152.90;Yasli;64
4068;Daler Rowney Resim Koleksiyonu;Hobi-Sanat;Resim;Daler Rowney;4388.56;Cocuk;28
4069;MSI Retro Koleksiyonu;Oyun;Retro;MSI;4998.04;Cocuk;19
4070;Pasabahce Konfor Nevresim Takımı;Ev-Yasam;Konfor;Pasabahce;1803.82;Genc;49
4071;North Face Fitness Koşu Ayakkabısı;Spor;Fitness;North Face;5575.73;Cocuk;63
4072;Xiaomi Yazilim Kulaklık;Teknoloji;Yazilim;Xiaomi;10617.46;Yetiskin;16
4073;Chanel Makyaj Cilt Serumu;Kozmetik;Makyaj;Chanel;1946.61;Yasli;3
4074;Sennheiser Studyo DJ Ekipmanı;Muzik;Studyo;Sennheiser;20487.00;Yasli;84
4075;Moleskine Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Moleskine;2360.45;Genc;82
4076;Wilson Fitness Eşofman Takımı;Spor;Fitness;Wilson;929.90;Yasli;24
4077;Corsair E-Spor Koleksiyonu;Oyun;E-Spor;Corsair;3989.97;Yasli;37
4078;Karaca Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Karaca;8926.22;Yetiskin;61
4079;Ithaki Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Ithaki;66.42;Genc;58
4080;Dogan Kitap Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Dogan Kitap;228.77;Genc;90
4081;Gibson Sahne Pikap;Muzik;Sahne;Gibson;6248.11;Cocuk;59
4082;English Home Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;English Home;8593.00;Yasli;52
4083;Canson El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Canson;337.24;Cocuk;7
4084;HyperX Retro Seti;Oyun;Retro;HyperX;2758.73;Yasli;3
4085;Hasbro Klasik Seti;Oyuncak;Klasik;Hasbro;3503.68;Yasli;96
4086;Canson Resim Paketi;Hobi-Sanat;Resim;Canson;4118.04;Yetiskin;47
4087;Bose Sahne Enstrüman;Muzik;Sahne;Bose;1799.74;Yasli;68
4088;Levi's Klasik Parfüm;Moda;Klasik;Levi's;2750.28;Yetiskin;61
4089;Derwent Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Derwent;1761.72;Yetiskin;69
4090;North Face Fitness Spor Çantası;Spor;Fitness;North Face;6207.06;Yetiskin;80
4091;Liquitex Resim Koleksiyonu;Hobi-Sanat;Resim;Liquitex;2468.16;Cocuk;91
4092;Faber-Castell El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Faber-Castell;4628.28;Cocuk;62
4093;HP Ev Ofis Tablet;Teknoloji;Ev Ofis;HP;20926.52;Genc;8
4094;JBL Analog Pikap;Muzik;Analog;JBL;17842.82;Yetiskin;3
4095;Columbia Ekipman Antrenman Ekipmanı;Spor;Ekipman;Columbia;6098.25;Yetiskin;14
4096;Bosch Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Bosch;6092.74;Cocuk;64
4097;Clinique Bakim Ruj;Kozmetik;Bakim;Clinique;1645.10;Genc;100
4098;MAC Parfum Cilt Serumu;Kozmetik;Parfum;MAC;1554.39;Cocuk;4
4099;Daler Rowney Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Daler Rowney;1077.43;Genc;88
4100;Zowie E-Spor Koleksiyonu;Oyun;E-Spor;Zowie;3950.82;Yetiskin;78
4101;Huawei Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Huawei;16964.69;Yetiskin;29
4102;Roland Studyo Amfi;Muzik;Studyo;Roland;17874.13;Genc;92
4103;Puma Sokak Stili Parfüm;Moda;Sokak Stili;Puma;1732.90;Yetiskin;33
4104;MAC Bakim Ruj;Kozmetik;Bakim;MAC;353.96;Yetiskin;64
4105;Michelin Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Michelin;1435.13;Yasli;24
4106;Marshall Studyo Pikap;Muzik;Studyo;Marshall;2313.72;Genc;99
4107;Estee Lauder Bakim Göz Kalemi;Kozmetik;Bakim;Estee Lauder;1514.68;Cocuk;18
4108;Faber-Castell Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Faber-Castell;3727.39;Cocuk;8
4109;Zara Aksesuar Gözlük;Moda;Aksesuar;Zara;4318.00;Cocuk;40
4110;Karaca Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Karaca;3023.52;Genc;42
4111;Lancome Bakim Nemlendirici;Kozmetik;Bakim;Lancome;1289.52;Genc;90
4112;Salomon Ekipman Koşu Ayakkabısı;Spor;Ekipman;Salomon;654.63;Cocuk;21
4113;Pebeo Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Pebeo;2501.29;Genc;36
4114;Bosch Konfor Kahve Makinesi;Ev-Yasam;Konfor;Bosch;5907.28;Genc;100
4115;Bridgestone Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bridgestone;14860.25;Yasli;89
4116;Casio Sahne Pikap;Muzik;Sahne;Casio;19161.51;Yetiskin;43
4117;Columbia Fitness Koşu Ayakkabısı;Spor;Fitness;Columbia;2135.70;Cocuk;57
4118;Metis Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Metis;336.99;Yasli;81
4119;Sony Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;Sony;12914.15;Yasli;15
4120;Nivea Parfum Göz Kalemi;Kozmetik;Parfum;Nivea;1937.74;Cocuk;80
4121;Sennheiser Sahne Pikap;Muzik;Sahne;Sennheiser;24395.60;Yetiskin;36
4122;Meguiars Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Meguiars;4661.05;Yetiskin;89
4123;Prismacolor El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Prismacolor;3887.81;Yasli;92
4124;Playmobil Egitici Koleksiyonu;Oyuncak;Egitici;Playmobil;1280.58;Yasli;57
4125;Tefal Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Tefal;7445.17;Yasli;100
4126;Gigabyte Retro Paketi;Oyun;Retro;Gigabyte;701.56;Cocuk;66
4127;Reeves El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Reeves;1823.09;Yasli;45
4128;Bosch Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Bosch;7297.82;Cocuk;38
4129;Reebok Outdoor Koşu Ayakkabısı;Spor;Outdoor;Reebok;2639.81;Yetiskin;69
4130;Corsair E-Spor Koleksiyonu;Oyun;E-Spor;Corsair;871.14;Yetiskin;50
4131;Tefal Dekorasyon Kahve Makinesi;Ev-Yasam;Dekorasyon;Tefal;10991.19;Cocuk;75
4132;LOreal Makyaj Nemlendirici;Kozmetik;Makyaj;LOreal;1470.58;Genc;78
4133;Fender Analog Enstrüman;Muzik;Analog;Fender;2502.03;Yasli;49
4134;Huawei Mobil Yasam Bilgisayar;Teknoloji;Mobil Yasam;Huawei;25576.04;Yasli;49
4135;Bosch Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Bosch;6027.77;Cocuk;78
4136;Winsor Newton Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Winsor Newton;3497.56;Cocuk;63
4137;Moleskine El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Moleskine;2748.71;Cocuk;19
4138;Karaca Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Karaca;10742.36;Yasli;13
4139;Columbia Fitness Koşu Ayakkabısı;Spor;Fitness;Columbia;6494.14;Cocuk;13
4140;Reebok Outdoor Eşofman Takımı;Spor;Outdoor;Reebok;5061.44;Yasli;37
4141;Pebeo Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Pebeo;3250.87;Cocuk;45
4142;Liquitex El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Liquitex;4034.72;Genc;91
4143;Razer Retro Paketi;Oyun;Retro;Razer;1065.51;Genc;13
4144;Decathlon Fitness Spor Çantası;Spor;Fitness;Decathlon;3631.91;Yetiskin;10
4145;Spalding Outdoor Koşu Ayakkabısı;Spor;Outdoor;Spalding;1805.44;Cocuk;24
4146;Yapi Kredi Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Yapi Kredi;481.13;Yetiskin;33
4147;Melissa Doug Klasik Koleksiyonu;Oyuncak;Klasik;Melissa Doug;4942.60;Yasli;95
4148;Maybelline Makyaj Ruj;Kozmetik;Makyaj;Maybelline;1986.15;Genc;81
4149;Nivea Bakim Ruj;Kozmetik;Bakim;Nivea;1491.71;Yasli;80
4150;Levi's Aksesuar Parfüm;Moda;Aksesuar;Levi's;3659.28;Yasli;85
4151;Gigabyte Retro Paketi;Oyun;Retro;Gigabyte;3895.07;Yetiskin;40
4152;Alfa Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Alfa Yayinlari;202.50;Yasli;54
4153;Huawei Yazilim Tablet;Teknoloji;Yazilim;Huawei;8396.91;Yetiskin;16
4154;SteelSeries E-Spor Seti;Oyun;E-Spor;SteelSeries;4515.30;Cocuk;14
4155;Reeves El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Reeves;1287.28;Genc;26
4156;Everest Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Everest;158.58;Genc;18
4157;Karaca Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Karaca;10092.69;Cocuk;6
4158;Burberry Klasik Ceket;Moda;Klasik;Burberry;2746.47;Cocuk;57
4159;Levi's Sokak Stili Saat;Moda;Sokak Stili;Levi's;485.80;Genc;17
4160;Spin Master Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Spin Master;1665.32;Yetiskin;17
4161;Sony Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Sony;25150.40;Genc;14
4162;Melissa Doug Egitici Paketi;Oyuncak;Egitici;Melissa Doug;286.78;Genc;89
4163;Castelli Fitness Koşu Ayakkabısı;Spor;Fitness;Castelli;2350.46;Yasli;95
4164;Decathlon Ekipman Antrenman Ekipmanı;Spor;Ekipman;Decathlon;7654.46;Yasli;31
4165;Pasabahce Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Pasabahce;9514.40;Cocuk;11
4166;LOreal Bakim Ruj;Kozmetik;Bakim;LOreal;1688.92;Yasli;43
4167;Sephora Parfum Ruj;Kozmetik;Parfum;Sephora;1054.68;Yasli;44
4168;Madame Coco Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Madame Coco;8714.44;Yetiskin;66
4169;Karaca Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Karaca;1186.72;Cocuk;62
4170;Ikea Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Ikea;992.02;Yetiskin;15
4171;Tefal Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Tefal;7506.14;Yasli;32
4172;Sony Yazilim Akıllı Saat;Teknoloji;Yazilim;Sony;35540.12;Cocuk;92
4173;Karaca Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Karaca;9717.86;Genc;61
4174;MSI Retro Seti;Oyun;Retro;MSI;2300.91;Yasli;85
4175;Estee Lauder Parfum Göz Kalemi;Kozmetik;Parfum;Estee Lauder;995.22;Cocuk;27
4176;H&M Aksesuar Saat;Moda;Aksesuar;H&M;3418.32;Yetiskin;39
4177;Spalding Outdoor Eşofman Takımı;Spor;Outdoor;Spalding;6437.70;Cocuk;25
4178;JBL Studyo Pikap;Muzik;Studyo;JBL;15346.99;Genc;41
4179;Gibson Studyo Enstrüman;Muzik;Studyo;Gibson;1875.92;Cocuk;78
4180;Mizuno Ekipman Spor Çantası;Spor;Ekipman;Mizuno;6176.10;Cocuk;85
4181;Levi's Sokak Stili Çanta;Moda;Sokak Stili;Levi's;1805.44;Genc;10
4182;Meguiars Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Meguiars;8501.90;Yetiskin;5
4183;Decathlon Outdoor Koşu Ayakkabısı;Spor;Outdoor;Decathlon;5754.84;Cocuk;2
4184;MAC Makyaj Nemlendirici;Kozmetik;Makyaj;MAC;1181.25;Genc;71
4185;Continental Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Continental;5751.58;Cocuk;28
4186;Nivea Bakim Ruj;Kozmetik;Bakim;Nivea;751.03;Yasli;33
4187;Arzum Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Arzum;2072.63;Cocuk;74
4188;Fender Studyo Amfi;Muzik;Studyo;Fender;19397.15;Genc;25
4189;Castelli Outdoor Eşofman Takımı;Spor;Outdoor;Castelli;7224.57;Yasli;28
4190;Huawei Ev Ofis Kulaklık;Teknoloji;Ev Ofis;Huawei;2737.25;Yetiskin;32
4191;Is Bankasi Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Is Bankasi Yayinlari;406.75;Yetiskin;22
4192;H&M Klasik Ceket;Moda;Klasik;H&M;776.32;Yasli;63
4193;Dior Bakim Ruj;Kozmetik;Bakim;Dior;1285.91;Cocuk;27
4194;Clinique Parfum Ruj;Kozmetik;Parfum;Clinique;1570.03;Yetiskin;83
4195;Zara Klasik Ceket;Moda;Klasik;Zara;4218.94;Yasli;21
4196;Maybelline Makyaj Cilt Serumu;Kozmetik;Makyaj;Maybelline;1885.85;Cocuk;24
4197;Metis Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Metis;177.11;Yetiskin;43
4198;Logitech E-Spor Paketi;Oyun;E-Spor;Logitech;2758.41;Yasli;93
4199;Pioneer Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Pioneer;11936.98;Yetiskin;76
4200;Salomon Outdoor Eşofman Takımı;Spor;Outdoor;Salomon;7486.44;Genc;93
4201;3M Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;3M;6160.68;Yasli;40
4202;Bose Sahne DJ Ekipmanı;Muzik;Sahne;Bose;1575.43;Genc;79
4203;LEGO Klasik Paketi;Oyuncak;Klasik;LEGO;4671.29;Genc;40
4204;Karaca Dekorasyon Kahve Makinesi;Ev-Yasam;Dekorasyon;Karaca;11771.35;Yetiskin;43
4205;Razer E-Spor Seti;Oyun;E-Spor;Razer;2540.87;Yetiskin;21
4206;Sony Yazilim Akıllı Telefon;Teknoloji;Yazilim;Sony;32872.88;Genc;91
4207;LG Mobil Yasam Tablet;Teknoloji;Mobil Yasam;LG;13409.56;Yasli;19
4208;Marshall Analog Amfi;Muzik;Analog;Marshall;24158.18;Cocuk;40
4209;Marshall Studyo Amfi;Muzik;Studyo;Marshall;24719.42;Cocuk;69
4210;Nintendo E-Spor Seti;Oyun;E-Spor;Nintendo;2331.38;Cocuk;23
4211;Mattel Klasik Seti;Oyuncak;Klasik;Mattel;4808.69;Genc;34
4212;Nintendo Yayincilik Koleksiyonu;Oyun;Yayincilik;Nintendo;784.03;Cocuk;19
4213;Estee Lauder Parfum Nemlendirici;Kozmetik;Parfum;Estee Lauder;713.57;Yetiskin;45
4214;Bosch Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Bosch;5055.50;Yetiskin;55
4215;Liquitex Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Liquitex;4998.28;Yetiskin;51
4216;Melissa Doug Egitici Koleksiyonu;Oyuncak;Egitici;Melissa Doug;4110.38;Cocuk;29
4217;Ithaki Tarih Romanı/Kitabı;Kitap;Tarih;Ithaki;105.72;Cocuk;65
4218;Reeves El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Reeves;2339.78;Cocuk;79
4219;Estee Lauder Bakim Cilt Serumu;Kozmetik;Bakim;Estee Lauder;633.93;Genc;65
4220;Mattel Egitici Paketi;Oyuncak;Egitici;Mattel;989.31;Yetiskin;93
4221;Moleskine Resim Seti;Hobi-Sanat;Resim;Moleskine;141.64;Genc;39
4222;Casio Studyo Pikap;Muzik;Studyo;Casio;23941.63;Yasli;94
4223;Ikea Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Ikea;3546.68;Genc;74
4224;Mizuno Ekipman Koşu Ayakkabısı;Spor;Ekipman;Mizuno;7076.76;Cocuk;93
4225;Under Armour Outdoor Antrenman Ekipmanı;Spor;Outdoor;Under Armour;4704.14;Yasli;36
4226;Prada Sokak Stili Saat;Moda;Sokak Stili;Prada;3024.11;Cocuk;73
4227;Nintendo Retro Paketi;Oyun;Retro;Nintendo;1933.22;Genc;96
4228;VTech Klasik Koleksiyonu;Oyuncak;Klasik;VTech;4917.27;Cocuk;39
4229;Sennheiser Studyo DJ Ekipmanı;Muzik;Studyo;Sennheiser;13521.17;Cocuk;100
4230;Playmobil Klasik Koleksiyonu;Oyuncak;Klasik;Playmobil;392.48;Cocuk;60
4231;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;11542.82;Yetiskin;55
4232;Puma Aksesuar Parfüm;Moda;Aksesuar;Puma;3148.13;Yasli;86
4233;HyperX Yayincilik Koleksiyonu;Oyun;Yayincilik;HyperX;2772.01;Yasli;38
4234;Pioneer Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Pioneer;6649.14;Yasli;48
4235;MSI Yayincilik Seti;Oyun;Yayincilik;MSI;4552.15;Yetiskin;65
4236;Castrol Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Castrol;2839.73;Yasli;21
4237;3M Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;3M;10191.03;Yetiskin;32
4238;Xiaomi Mobil Yasam Akıllı Telefon;Teknoloji;Mobil Yasam;Xiaomi;37687.95;Genc;79
4239;Columbia Fitness Eşofman Takımı;Spor;Fitness;Columbia;5122.95;Yasli;56
4240;Pebeo Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Pebeo;681.63;Yasli;34
4241;Fisher-Price Klasik Paketi;Oyuncak;Klasik;Fisher-Price;4488.99;Yetiskin;15
4242;Lancome Bakim Ruj;Kozmetik;Bakim;Lancome;1980.63;Yasli;84
4243;Fisher-Price Egitici Seti;Oyuncak;Egitici;Fisher-Price;4877.18;Genc;61
4244;3M Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;3M;10135.23;Yasli;49
4245;Mattel Egitici Koleksiyonu;Oyuncak;Egitici;Mattel;4221.45;Cocuk;75
4246;JBL Sahne Amfi;Muzik;Sahne;JBL;8834.38;Genc;20
4247;Marshall Analog Amfi;Muzik;Analog;Marshall;20317.27;Yetiskin;4
4248;Sephora Parfum Nemlendirici;Kozmetik;Parfum;Sephora;1303.50;Cocuk;78
4249;Hot Wheels Aksiyon Paketi;Oyuncak;Aksiyon;Hot Wheels;3840.29;Yetiskin;79
4250;Marshall Analog Amfi;Muzik;Analog;Marshall;4803.64;Genc;61
4251;Asus Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;Asus;16701.39;Cocuk;45
4252;Lenovo Yazilim Akıllı Telefon;Teknoloji;Yazilim;Lenovo;43956.31;Genc;45
4253;Pioneer Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Pioneer;6201.19;Cocuk;84
4254;Can Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Can Yayinlari;61.49;Cocuk;25
4255;Bridgestone Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Bridgestone;2052.31;Yasli;39
4256;MSI E-Spor Paketi;Oyun;E-Spor;MSI;4694.31;Yetiskin;65
4257;Mattel Egitici Koleksiyonu;Oyuncak;Egitici;Mattel;2659.26;Yetiskin;20
4258;Bosch Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Bosch;5323.95;Genc;32
4259;Lacoste Klasik Çanta;Moda;Klasik;Lacoste;2408.37;Genc;81
4260;LOreal Parfum Ruj;Kozmetik;Parfum;LOreal;587.39;Genc;85
4261;Corsair Retro Seti;Oyun;Retro;Corsair;2159.80;Yetiskin;98
4262;Mizuno Fitness Spor Çantası;Spor;Fitness;Mizuno;1308.14;Cocuk;31
4263;Pioneer Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Pioneer;12275.89;Yetiskin;38
4264;Prismacolor El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Prismacolor;1565.42;Cocuk;72
4265;Decathlon Fitness Spor Çantası;Spor;Fitness;Decathlon;6272.18;Genc;55
4266;Bosch Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bosch;2620.56;Yetiskin;91
4267;Reebok Fitness Eşofman Takımı;Spor;Fitness;Reebok;6212.29;Yetiskin;12
4268;Arzum Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Arzum;4663.46;Cocuk;70
4269;Bosch Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Bosch;9882.82;Cocuk;50
4270;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;169.90;Cocuk;17
4271;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;5113.76;Genc;10
4272;Xiaomi Ev Ofis Akıllı Telefon;Teknoloji;Ev Ofis;Xiaomi;2169.21;Yasli;100
4273;LG Yazilim Tablet;Teknoloji;Yazilim;LG;29228.44;Yetiskin;85
4274;Bridgestone Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Bridgestone;12411.27;Genc;98
4275;Spin Master Egitici Seti;Oyuncak;Egitici;Spin Master;2318.40;Yasli;16
4276;Can Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Can Yayinlari;141.67;Genc;73
4277;Roland Sahne Amfi;Muzik;Sahne;Roland;17657.14;Yetiskin;3
4278;Pebeo Resim Seti;Hobi-Sanat;Resim;Pebeo;4597.34;Yasli;48
4279;Beko Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Beko;5097.77;Cocuk;92
4280;Corsair Retro Paketi;Oyun;Retro;Corsair;4653.92;Yasli;77
4281;H&M Sokak Stili Saat;Moda;Sokak Stili;H&M;5970.06;Genc;68
4282;LEGO Aksiyon Koleksiyonu;Oyuncak;Aksiyon;LEGO;4362.01;Genc;58
4283;Mattel Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Mattel;3895.78;Genc;44
4284;Dogan Kitap Tarih Romanı/Kitabı;Kitap;Tarih;Dogan Kitap;323.31;Genc;10
4285;Prismacolor Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Prismacolor;3937.97;Genc;36
4286;Spalding Ekipman Koşu Ayakkabısı;Spor;Ekipman;Spalding;5561.00;Yasli;31
4287;Apple Yazilim Akıllı Telefon;Teknoloji;Yazilim;Apple;43803.16;Yasli;89
4288;Lenovo Ev Ofis Akıllı Saat;Teknoloji;Ev Ofis;Lenovo;35766.91;Genc;3
4289;Zara Aksesuar Parfüm;Moda;Aksesuar;Zara;711.27;Genc;31
4290;Ithaki Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Ithaki;309.36;Yasli;14
4291;Gucci Aksesuar Saat;Moda;Aksesuar;Gucci;2395.44;Yasli;46
4292;Goodyear Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Goodyear;14312.16;Genc;68
